Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,14713,13,-1,14.5139,3.33417,-14.1234,0.238701,0.0164483,-1.33897,-13,1,18.6929,10.728,7.63456,-13.2678,-0.886764,0.6185,11,-1,13.4997,-12.795,-2.57316,-3.45081,-0.261418,-2.94313,-11,1,6.51349,2.95362,5.58885,-1.57048,-0.245955,1.08462
1,173619,-13,1,57.704,1.12381,-20.2711,54.0144,1.70525,-1.51541,13,-1,39.7571,14.7981,8.2031,-35.9769,-1.49875,0.506164,11,-1,52.6787,9.96424,42.9592,28.8144,0.614066,1.34288,-11,1,45.1231,-13.943,-41.7375,9.98337,0.224968,-1.8932
1,61251,13,-1,65.5098,-6.25879,-33.8475,55.7378,1.25916,-1.75364,-13,1,29.0093,8.34439,10.4964,-25.724,-1.40654,0.899125,-11,1,138.042,-38.7317,68.8688,113.193,1.15678,2.08311,11,-1,38.6575,31.4721,-2.42903,22.3161,0.65837,-0.0770276
1,40491,-13,1,28.0982,4.8395,-25.3812,-11.0396,-0.415221,-1.38238,13,-1,122.29,-6.33583,21.1238,-120.285,-2.39784,1.8622,-11,1,8.7833,-4.5005,-7.52293,-0.545323,-0.0621663,-2.10992,11,-1,6.9028,1.67787,-3.2019,-5.88058,-1.26308,-1.08811
1,53685,-13,1,23.2209,7.31628,-3.79519,-21.7087,-1.69584,-0.478521,13,-1,22.1995,3.60863,-6.73894,-20.8416,-1.72819,-1.07916,-11,1,79.1195,-28.4165,18.5953,-71.4605,-1.48931,2.56214,11,-1,22.0252,11.9112,-16.4547,-8.51326,-0.407707,-0.944226
1,63444,-13,1,55.89,-47.2278,-22.379,-19.8091,-0.370501,-2.69908,13,-1,38.6754,37.8898,7.50374,1.95638,0.050628,0.195511,11,-1,22.2623,16.4528,3.51106,-14.5804,-0.783897,0.210248,-11,1,4.35171,1.9531,2.12536,-3.25663,-0.96921,0.827609
1,77997,13,-1,206.348,-37.0126,-66.6397,-191.752,-1.65297,-2.07779,-13,1,50.2362,33.516,-7.18968,-36.724,-0.930931,-0.211312,11,-1,102.78,23.9856,92.295,-38.342,-0.39196,1.31654,-11,1,35.8,-17.5427,-13.8874,-27.947,-1.04701,-2.47197
1,84165,-13,1,129.657,80.1617,63.9336,79.3575,0.712202,0.673251,13,-1,64.5841,12.683,-25.5702,57.9344,1.45686,-1.11035,11,-1,76.2996,-29.2085,-39.8378,-58.1502,-1.00128,-2.20345,-11,1,55.2467,-47.634,-6.34751,27.2564,0.540489,-3.00912
1,168015,13,-1,126.696,-29.4332,-67.983,102.78,1.13064,-1.97938,-13,1,37.5202,28.727,-24.0516,-2.00963,-0.0536126,-0.697045,11,-1,116.303,55.7717,67.2553,-76.7639,-0.792871,0.87847,-11,1,47.3446,-23.358,40.7464,5.97084,0.126789,2.09132
1,73885,-13,1,167.152,-4.60421,36.0127,-163.161,-2.20806,1.69796,13,-1,14.9116,-2.82298,8.15034,12.1634,1.14389,1.90423,-11,1,55.1134,49.1077,-15.6747,19.4993,0.369784,-0.308968,11,-1,72.4591,-30.7236,-26.4027,60.0773,1.18531,-2.43169
1,196210,13,-1,80.1141,44.2177,66.6722,-4.22897,-0.052836,0.985191,-13,1,44.2961,8.87617,-41.3065,-13.3085,-0.310009,-1.35913,11,-1,55.3824,-37.077,-41.1039,1.72284,0.0311181,-2.30473,-11,1,56.1546,-16.1385,28.8304,45.4059,1.12293,2.08111
1,178969,13,-1,183.216,-44.8172,138.45,-111.314,-0.705044,1.88386,-13,1,12.6866,8.32016,-8.83323,3.69956,0.300338,-0.8153,11,-1,507.004,53.8744,-115.919,-490.625,-2.05471,-1.13574,-11,1,62.2607,-21.9225,-1.01291,-58.2647,-1.70328,-3.09542
