Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
194533,98805,11,-1,45.1341,-19.5405,-19.8503,-35.5137,-1.0631,-2.34833,-11,1,34.0773,10.9897,19.0482,-26.0317,-1.00552,1.0475,-11,1,25.253,10.114,18.6835,-13.6509,-0.604955,1.07463,11,-1,56.7004,0.505192,10.1065,-55.7901,-2.40844,1.52085
200519,23836,-11,1,168.688,72.0862,90.1314,123.026,0.927259,0.896183,11,-1,103.982,-28.8878,38.8667,92.0165,1.39806,2.20997,-11,1,170.418,-7.18124,-45.116,164.181,1.99118,-1.72864,11,-1,45.7287,-2.95189,-15.1354,43.0502,1.75045,-1.76341
200519,629198,11,-1,174.841,50.5641,-66.514,153.586,1.36885,-0.920797,-11,1,151.687,-13.0015,55.9339,140.397,1.62656,1.79919,11,-1,37.0244,5.81767,-29.5216,21.5741,0.666539,-1.37622,-11,1,15.0139,0.252221,14.8455,-2.22787,-0.149491,1.55381
206859,350556,11,-1,516.852,127.56,-140.728,-480.688,-1.6586,-0.83444,11,-1,174.236,-80.6137,9.27103,-154.187,-1.39807,3.02709,-11,1,343.613,50.3321,-29.6503,-338.611,-2.45776,-0.532361,-11,1,76.9022,18.929,11.5336,-73.6384,-1.91567,0.547234
194533,229112,11,-1,31.4833,2.1389,-20.831,23.5094,0.965516,-1.46848,11,-1,18.6843,-6.96479,15.2489,-8.25024,-0.474167,1.99924,-11,1,15.4442,0.711231,15.3035,-1.95499,-0.127266,1.52435,-11,1,25.5259,-11.0438,-0.0367092,-23.0132,-1.48049,-3.13827
200519,409039,-11,1,147.18,-30.4094,-57.2003,132.157,1.4614,-2.05943,-11,1,97.6002,-1.13984,58.343,78.2341,1.10301,1.59033,11,-1,74.7032,26.1087,14.9097,68.3857,1.56007,0.518869,11,-1,23.1541,10.7342,-1.4556,-20.4638,-1.39292,-0.134782
200519,1150002,11,-1,84.2425,0.362401,20.0321,81.8253,2.11489,1.55271,-11,1,17.6917,-16.6011,-5.99315,1.2165,0.0688702,-2.79514,11,-1,57.6366,9.43038,-13.2905,55.2848,1.93575,-0.953684,-11,1,26.3089,7.54704,-2.72264,25.0557,1.85662,-0.346224
200519,1235779,11,-1,47.7594,20.851,22.3091,36.722,1.01762,0.819168,-11,1,34.1341,-17.8521,-13.0821,25.9865,0.999316,-2.50919,-11,1,57.2336,-12.9332,-17.6744,52.8775,1.61496,-2.20251,11,-1,37.5032,-14.2301,1.65228,34.6593,1.61687,3.026
194533,86914,11,-1,187.473,165.127,30.8048,-83.2481,-0.47727,0.184433,11,-1,356.155,-136.382,8.10099,-328.908,-1.61229,3.08226,-11,1,25.5804,-18.6644,-15.5764,-7.96058,-0.321872,-2.44614,-11,1,16.052,-2.11075,11.6385,10.8515,0.821755,1.7502
200519,783444,11,-1,40.5414,-3.90248,39.6853,7.31084,0.182324,1.66882,-11,1,39.9774,-4.27795,-18.0361,35.4202,1.40303,-1.80368,-11,1,16.5637,4.4962,-9.34338,12.9167,1.04491,-1.12229,11,-1,20.7879,-9.80001,-1.34969,18.2832,1.37361,-3.00473
206859,518594,-11,1,142.238,-112.706,-7.17272,-86.4739,-0.705664,-3.07804,11,-1,57.2255,39.2895,-18.4964,37.269,0.777492,-0.439993,-11,1,32.9887,21.6193,-6.52642,24.0471,0.926485,-0.29318,11,-1,25.7413,-6.97986,10.3038,22.5327,1.35554,2.1662
194533,876080,11,-1,241.722,162.626,-131.851,120.82,0.54908,-0.68127,-11,1,190.207,-170.958,80.0177,23.4375,0.123851,2.70383,-11,1,35.3104,6.93497,28.4254,19.7668,0.632545,1.3315,11,-1,28.926,19.0182,15.9838,14.8169,0.565756,0.698922
206859,231251,-11,1,84.7675,-14.2273,37.7673,74.5435,1.37306,1.93106,11,-1,25.6806,13.3354,-14.3224,16.6292,0.77105,-0.821068,11,-1,11.5174,0.922149,-8.08483,8.15085,0.882555,-1.45723,-11,1,17.8671,2.66043,-6.02773,16.6079,1.65487,-1.15515
200519,724201,-11,1,34.3651,15.268,30.7576,1.34892,0.0392729,1.11003,-11,1,39.3657,-4.19438,-28.7955,-26.512,-0.817084,-1.71544,11,-1,12.5853,-10.1732,-0.869079,7.35799,0.669497,-3.05637,11,-1,3.41563,-1.9309,2.28169,-1.6529,-0.528093,2.27311
206859,365854,-11,1,61.559,9.54702,14.0101,-59.1784,-1.96313,0.972637,11,-1,16.8135,-6.99384,14.4342,5.04315,0.309462,2.02199,-11,1,12.5517,-0.299921,12.0545,3.4848,0.285119,1.59567,11,-1,15.36,0.855809,-9.5865,11.9706,1.04368,-1.48176
206859,1359421,-11,1,98.9761,-58.0034,48.3116,64.0145,0.769721,2.4471,11,-1,109.657,-29.6911,-64.6949,83.4121,0.997795,-2.00106,11,-1,71.6308,28.4742,60.4166,25.8849,0.378456,1.13037,-11,1,40.604,15.627,-10.4533,35.989,1.4046,-0.589564
