Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
194533,551347,13,-1,111.707,-70.172,58.6428,64.1513,0.653888,2.44546,-13,1,50.9831,32.6371,-31.5216,-23.248,-0.492245,-0.768013,-13,1,22.8726,17.9531,-14.1239,1.16098,0.0508026,-0.666585,13,-1,67.3531,6.19068,-17.131,64.8432,1.98203,-1.22403
200519,235191,13,-1,64.5681,20.5502,36.7917,48.9192,0.990648,1.06141,-13,1,36.4859,-14.8998,-15.549,29.4521,1.11901,-2.33488,-13,1,20.8332,-9.74124,-5.65233,17.5262,1.22553,-2.61582,13,-1,29.9879,-7.69568,-6.59071,28.2241,1.74837,-2.43338
194533,735048,13,-1,179.885,-2.30082,84.7113,158.674,1.38508,1.59795,13,-1,61.9754,-18.5334,-34.957,47.7018,1.01957,-2.05829,13,-1,22.1035,10.5012,-7.92568,17.7612,1.10858,-0.646529,-13,1,46.2273,7.95955,6.72293,45.0377,2.17015,0.701373
194533,391260,13,-1,54.6893,-11.1299,34.8605,40.6422,0.957473,1.87984,-13,1,74.1934,8.56023,-18.1072,71.4388,1.98392,-1.12918,13,-1,21.841,-4.10937,-15.9862,14.303,0.783787,-1.82241,-13,1,5.37689,0.780364,5.22679,-0.985618,-0.185438,1.42259
206859,157381,13,-1,237.919,8.61466,43.3401,233.779,2.36789,1.37459,-13,1,46.5166,-6.36281,-20.0824,41.4729,1.42954,-1.87763,13,-1,27.9192,0.623589,-11.0845,25.6167,1.57322,-1.5146,-13,1,12.665,-2.34011,-6.21959,10.7811,1.26078,-1.93066
200519,3720,-13,1,94.3337,-39.9519,58.9479,-61.8695,-0.78551,2.16643,13,-1,52.8645,28.0956,-13.3925,-42.7308,-1.12213,-0.444816,-13,1,25.7318,0.417646,-16.2584,-19.94,-1.03254,-1.54511,13,-1,17.9299,-1.75555,-14.1064,-10.9269,-0.708021,-1.69461
200519,674417,13,-1,62.0673,37.0928,-12.9448,-48.0509,-1.03067,-0.33577,-13,1,18.4644,-6.68421,-16.7127,-4.11432,-0.226631,-1.95126,13,-1,18.7813,-14.8968,-7.65385,-8.49881,-0.487867,-2.66697,-13,1,13.4951,-12.3031,-1.39929,5.36478,0.420733,-3.02834
200519,541684,-13,1,76.358,-19.2816,-24.2955,69.7745,1.54998,-2.24164,13,-1,48.8547,22.2644,0.033803,43.4864,1.4225,0.00151825,-13,1,92.3981,-16.5546,-0.598178,90.901,2.4038,-3.10547,13,-1,8.57578,-1.42662,-4.5995,7.09522,1.1799,-1.87156
206859,435176,13,-1,142.916,108.633,-21.2349,-90.4043,-0.745688,-0.19304,-13,1,84.189,-67.8977,-12.1949,48.2593,0.652314,-2.96388,13,-1,103.286,-65.2934,-3.6575,79.9455,1.03029,-3.08563,-13,1,52.9447,47.6737,-0.201066,23.0285,0.465991,-0.00421752
200519,1228470,13,-1,148.686,2.53583,-92.5639,-116.332,-1.05152,-1.54341,-13,1,91.2584,32.5867,70.7737,-47.5108,-0.577188,1.1393,13,-1,70.0125,-50.2149,48.1389,-7.92799,-0.113725,2.3773,-13,1,231.029,19.072,-40.3114,-226.684,-2.32861,-1.12889
206859,1368149,13,-1,63.4385,31.6446,-42.0625,35.4089,0.630161,-0.925809,-13,1,54.2402,-22.2336,47.6156,-13.4317,-0.252892,2.00765,-13,1,102.233,-20.6196,12.7533,99.3161,2.11782,2.58768,13,-1,34.4227,-4.60181,-15.8049,-30.2314,-1.36804,-1.85413
194533,1008656,-13,1,57.011,34.2061,36.001,-28.0019,-0.537599,0.810959,13,-1,192.169,-4.04853,-48.8426,-185.815,-2.04282,-1.6535,13,-1,43.8583,-39.1294,-19.809,-0.178373,-0.00406707,-2.67296,-13,1,46.7497,2.18274,31.0106,-34.9157,-0.96583,1.50053
194533,1424809,-13,1,61.3817,22.1898,30.9335,48.1502,1.05681,0.948529,13,-1,22.2234,-13.8684,-14.8421,-9.01394,-0.430345,-2.32229,-13,1,8.61955,-6.05377,-6.1349,0.0179704,0.00208501,-2.34954,13,-1,5.56883,-1.08481,-5.34257,-1.13177,-0.206141,-1.77112
194533,306762,-13,1,44.623,33.0537,4.34961,29.6603,0.801168,0.13084,13,-1,65.9643,-20.1207,-4.87273,62.6313,1.82642,-2.90399,13,-1,17.9192,-12.7981,-9.84397,7.77121,0.46443,-2.48593,-13,1,21.9526,-4.2654,-3.62591,21.2265,2.04289,-2.43706
200519,1360878,-13,1,111.813,-50.0824,13.2482,99.0882,1.4039,2.88299,13,-1,41.5962,33.0398,-8.32095,23.8614,0.65294,-0.246716,-13,1,10.309,-4.72106,-4.87566,7.75915,0.979144,-2.34009,13,-1,5.50012,2.55486,-4.86953,-0.0217662,-0.00395816,-1.08761
200519,448929,-13,1,27.9244,-11.3792,25.0791,4.6169,0.166869,1.99675,-13,1,18.2859,-6.41772,-17.1213,-0.191259,-0.0104599,-1.92943,13,-1,15.4148,5.14173,14.5072,-0.842523,-0.0547125,1.23018,13,-1,37.1825,-6.07471,-13.4568,-34.1253,-1.57478,-1.99483
200519,1048346,13,-1,159.61,-56.156,-0.296824,-149.404,-1.70524,-3.13631,-13,1,27.5592,14.2189,-23.383,-3.2485,-0.118425,-1.02445,-13,1,34.5132,16.6005,6.60389,-29.529,-1.27665,0.378619,13,-1,45.9277,8.02714,12.424,-43.4805,-1.79915,0.997167
206859,971979,13,-1,86.01,9.01518,39.3927,-75.9253,-1.38809,1.34582,-13,1,13.6151,-12.0314,-6.05096,-1.99769,-0.147797,-2.6756,13,-1,14.9837,-0.693495,-12.5949,8.08623,0.603707,-1.6258,-13,1,6.66694,-3.60296,2.94504,-4.77308,-0.899436,2.45633
200519,51232,-13,1,33.0431,-20.9072,11.9788,-22.6105,-0.837112,2.6213,13,-1,41.6923,-14.3477,-9.40701,37.9985,1.53577,-2.56126,-13,1,28.3302,-14.2419,6.79449,23.5285,1.1898,2.69645,13,-1,15.4234,1.04908,3.16763,15.0577,2.21207,1.25098
200519,373439,13,-1,21.0825,-13.208,9.2263,-13.5972,-0.766625,2.53185,13,-1,43.2757,13.3797,3.07709,41.0402,1.81506,0.226052,-13,1,8.55386,-6.511,0.93321,-5.46748,-0.756874,2.99923,-13,1,32.1907,-0.0492102,-6.14405,31.5987,2.34007,-1.57881
194533,406140,-13,1,94.3498,-53.7552,-16.8027,-75.6963,-1.10502,-2.83864,13,-1,95.6231,-13.7885,26.9152,-90.715,-1.81835,2.04423,13,-1,31.9432,-15.8324,-3.23591,-27.554,-1.30341,-2.93998,-13,1,15.4656,-12.148,-8.12389,-5.05991,-0.339666,-2.55215
